episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation,year
120.0,6/12/2019 0:00,Kanal D,1,Afili Aşk,arc films,Burcu Özberk,Çağlar Ertuğrul,Altan Erkekli,"barış erdoğan ,i̇lker arslan ,kübra sülün ,okşan tavaslıoğlu",serdar gözelekli,aslı demirer,Comedy,Romantic,fatih enes ömeroğlu,20,0.0,2019
138.0,6/11/2019 0:00,atv,1,Kimse Bilmez,baba yapım,Özgü Kaya,Keremcem,Engin Hepileri,hasan burak kayacı,hakan eren,engin aslan,Action & Adventure,Drama,hakan eren,20,0.0,2019
120.0,5/27/2019 0:00,atv,1,Canevim,koliba film,Biran Damla Yılmaz,Aras Aydın,Özgür Çevik,filiz alpgezmen,adnan güler,engin aslan,Drama,Family,ata türkoğlu,22,0.0,2019
120.0,4/16/2019 0:00,Kanal D,1,Leke,"tims productions,bi yapım",Melis Sezen,Burak Sevinç,Mehmet Bozdoğan,yıldız tunç,metin balekoğlu,cem yıldız,Drama,Family,timur savcı,20,0.0,2019
140.0,4/7/2018 0:00,FOX,1,Bir Mucize Olsun,pastel film,Furkan Palalı,Oral Özer,Elif Gizem Aykul,can sinan,hamdi alkan,aytekin ataş,Drama,No second genre,efe i̇rvül,20,0.0,2018
140.0,3/31/2018 0:00,Kanal D,1,İnsanlık Suçu,pastel film,Kaan Yıldırım,Gizem Karaca,Ahmet Mümtaz Taylan,"vilmer özçınar, nalan merter savaş",reyhan peker,aytekin ataş,Action & Adventure,Crime,efe i̇rvül,20,0.0,2018
120.0,3/31/2018 0:00,atv,1,Masum Değiliz,koliba film,Aras Aydın,Özlem Başkaya,Ceyda Olguner,"bekir baran sıtkı, pelin karamehmetoğlu, i̇lke yeşilay",levent turkan,aytekin ataş,Drama,No second genre,levent türkan,20,0.0,2018
120.0,2/25/2018 0:00,FOX,1,Adı: Zehra,ntc medya,Zeynep Çamcı,Hatice Aslan,Seda Güven,"bekir baran sıtkı, murat emir eren, rana mamatoğlu",taner akvardar,aytekin ataş,Drama,No second genre,mehmet yiğit alp,20,0.0,2018
60.0,3/30/2018 0:00,puhutv,1,Dip,tmc,İlker Kaleli,Neslihan Atagül,Berrak Tüzünataç,başar başaran,uygar kutlu,aytekin ataş,Action & Adventure,War & Politics,erol avcı,online,0.0,2018
120.0,3/29/2018 0:00,Star TV,2,Avlu,limon film,Demet Evgar,Ceren Moray Brun,Nursel Köse,"ahmet yurdakul ,mehmet güzelbeyoglu ,caner yalcin",yüksel aksu,aytekin ataş,Crime,Drama,caner yalcin,20,1.0,2018
130.0,3/20/2018 0:00,Kanal D,1,Mehmed Bir Cihan Fatihi,o3 medya,Kenan İmirzalıoğlu,Çetin Tekindor,Gürkan Uygun,ercan mehmet erdem,cevdet mercan,aytekin ataş,Drama,Reality,cevdet mercan,20,0.0,2018
110.0,3/19/2018 0:00,atv,1,8. Gün,ay yapım,Burcu Biricik,Musa Uzunlar,Buğra Gülsoy,"toprak karaoglu ,savas korkmaz ,volkan sümbül",çagri vila lostuvali,cem tuncer,Drama,Mystery,kerem çatay,20,0.0,2018
120.0,3/19/2018 0:00,FOX,3,Yasak Elma,med yapım,Buçe Buse Kahraman,Şevval Sam,Talat Bulut,melis civelek,neslihan yeşilyurt,cem tuncer,Drama,Comedy,neslihan yeşilyurt,20,0.0,2018
90.0,3/14/2018 0:00,Show TV,2,Benim Için Üzülme,boyut film,Fulya Zenginer,Tansel Öngel,Öykü Çelik,"onur kocal , selami genli",serkan birinci,marsis,Drama,No second genre,mahsun kırmızıgül,20,0.0,2018
130.0,3/1/2018 0:00,Kanal D,1,Meryem,tmc,Ayça Ayşin Turan,Uğur Demirpehlivan,Hakan İlçin,"meryem gültabak, i̇lke gürsoy",barış erçetin,metin arılgül,Drama,No second genre,erol avcı,20,0.0,2018
150.0,1/18/2018 0:00,TRT 1,2,Mehmetçik Kutlu Zafer,bozdağ film,İsmail Ege Şaşmaz,Kaan Taşaner,Gamze Özçelik,"mehmet bozdağ, yeşim aslan",kamil aydın,metin arılgül,Action & Adventure,No second genre,mehmet bozdağ,20,0.0,2018
85.0,2/18/2018 0:00,Star TV,3,Jet Sosyete,bkm,Çağlar Çorumlu,Derya Karadaş,Cengiz Bozkurt,gülse birsel,hakan algün,metin arılgül,Comedy,No second genre,necati akpınar,20,0.0,2018
59.0,1/26/2018 0:00,BluTV,1,Dudullu Postası,limon film,Güven Kıraç,Erkan Can,Taner Ölmez,"serkan yılmaz ,onur ünlü",onur ünlü,metin arılgül,Family,Comedy,onur ünlü,online,0.0,2018
130.0,1/25/2018 0:00,Show TV,1,Yuvamdaki Düşman,dus gezginleri,Nebahat Çehre,Aslı Tandoğan,Pamir Pekin,rüya i̇şçileri,muge ugurlar,metin arılgül,Drama,Family,Unknown,20,1.0,2018
150.0,1/24/2018 0:00,atv,3,Sen Anlat Karadeniz,sinegraf,İrem Helvacıoğlu,Cem Kenar,Ulaş Tuna Astepe,"ayşe ferda eryılmaz, nehir erdem, erkan birgören",osman sınav,metin arılgül,Drama,No second genre,osman sınav,20,0.0,2018
120.0,1/20/2018 0:00,Kanal D,1,Gülizar,o3 medya,Farah Zeynep Abdullah,Berk Cankat,Ebru Cündübeyoğlu,çağan irmak,çağan irmak,toygar işıklı,Drama,No second genre,çağan irmak,20,0.0,2018
120.0,4/13/2018 0:00,Show TV,1,Servet,ortaks yapim,Bahar Şahin,Baran Bölükbaşı,Cemre Gümeli,murat boyacıoğlu,emir khalilzadeh,toygar işıklı,Drama,No second genre,müge turalı pak,20,0.0,2018
120.0,1/1/2018 0:00,Show TV,1,Keşke Hiç Büyümeseydik,mint production,Ege Aydan,Burcu Kara,Açelya Akkoyun,"birol güven, murat aras, eray yasin küçük",mustafa uğur yağcıoğlu,toygar işıklı,Comedy,Drama,birol güven,20,0.0,2018
120.0,3/19/2018,atv,1,8. Gün,ay yapım,Burcu Biricik,Musa Uzunlar,Buğra Gülsoy,"savaş korkmaz,seda çalışır,toprak karaoğlu",çağrı vila lostuvalı,toygar işıklı,Drama,Action & Adventure,"kerem çatay,seda çiftçi,pelin distas yasaroglu,ali demir",20,0.0,2018
120.0,10/8/2018,atv,1,Can Kırıkları,ntc medya,Hande Doğandemir,Funda Eryiğit,Seçkin Özdemir,"gül gürsoy,gülsev karagöz,zafer özer çetinel",serkan birinci,alp yenier,Drama,Action & Adventure,mehmet yiğit alp,20,0.0,2018
60.0,1/1/2018,Kanal D,1,Hıçkırık ,birsel yapım,Sezgi Sena Akay,Barış Arda Hacıoğlu,Nurseli İdiz,nil fırat,fırat gürsoy,osman i̇şmen,Drama,Romantic,"sevgi birsel,sinan akad",14.15,0.0,2018
90.0,4/12/2018 0:00,Star TV,1,Aşktan Kaçılmaz,erler film,Berk Oktay,Pelin Akil,Ceren Hindistan,mahinur ergun,metin balekoğlu,banu akdeniz,Drama,Romantic,türker i̇nanoğlu,20,0.0,2018
120.0,3/26/2018 0:00,Show TV,1,Tehlikeli Karım,mf yapım,Mert Aydın,Emine Şans Umar,Görkem Kasal,"nalan merter savaş, vilmer özçınar",çağrı bayrak,banu akdeniz,Drama,No second genre,çağrı bayrak,20,0.0,2018
120.0,5/31/2018 0:00,atv,1,Kocaman Ailem,mia yapım,Aksel Bonfil,Çağla Demir,Emre Karayel,"berat deniz, alper çağlayan, şeyda delibaş, nergis herdem i̇nce, armağan gül şahin",sadullah şentürk,banu akdeniz,Comedy,Drama,hakan i̇nan,20,0.0,2018
120.0,9/27/2018 0:00,Kanal D,1,Bir Umut Yeter,mf yapım,Tolgahan Sayışman,Hazal Subaşı,Esra Bilgiç Töre,umut açıkalın,yusuf pirhasan,jingleTV,Drama,No second genre,faruk bayhan,20,0.0,2018
130.0,12/24/2018 0:00,TRT 1,1,Tek Yürek,degas film - volkan kocatürk,Tayanç Ayaydın,Vildan Atasever,Eslem Akar,"meriç demiray, elif asılkefeli, banu tekcan",mehmet ada öztekin,tuna velibaşoğlu,Crime,Action & Adventure,ahmet kayımtu,20,0.0,2018
45.0,12/14/2018 0:00,Netflix,3,The Protector,o3 medya,Çağatay Ulusoy,Ayça Ayşin Turan,Hazar Ergüçlü,"jason george, yasemin yılmaz, emre özpirinçci, atilla ünsal",can evrenol,emin yasin vural,Action & Adventure,Mystery,binnur karaevli,online,0.0,2018
120.0,12/8/2018 0:00,Star TV,1,Şahane Damat,sinegraf,Burcu Özberk,Ali Ersan Duru,Nükhet Duru,ayşe ferda yılmaz,raşit çelikeze,"cem özkan, murat hasarı",Romantic,Family,osman sınav,20,0.0,2018
145.0,12/1/2018 0:00,Show TV,1,Rüya,gold film,Hazal Filiz Küçükköse,Ceyhun Mengiroğlu,Ulaş Tuna Astepe,kaktüs yazı grubu,cemal şan,"cem özkan, murat hasarı",Family,Drama,şenay abacı turgut,20,0.0,2018
55.0,11/30/2018 0:00,BluTV,1,Bozkır,arc films,Yiğit Özşener,Ekin Koç,Nur Fettahoğlu,levent cantek,bahadır i̇nce,"cem özkan, murat hasarı",Crime,Drama,fatih enes ömeroğlu,online,0.0,2018
120.0,6/1/2018 0:00,Show TV,1,Darısı Başımıza,gold film,Ozan Dolunay,Elif Doğan,Devrim Yakut,"deniz dargı, okşan tavaşlıoğlu, kübra sülün, naz yiğit",barış yöş,"cem özkan, murat hasarı",Comedy,Family,faruk turgut,20,0.0,2018
120.0,11/22/2018 0:00,Show TV,1,Çarpışma,ay yapım,Kıvanç Tatlıtuğ,Elçin Sangu,Melisa Aslı Pamuk,ali aydın,uluç bayraktar,toygar işıklı,Action & Adventure,Drama,kerem çatay,21,0.0,2018
120.0,11/11/2018 0:00,TRT 1,3,Tozkoparan,veya yapım,Yusuf Gökhan Atalay,Demir Saygı,Özgür Ege Nalci,mustafa burak doğu,şevki es,özgür zoral,Action & Adventure,Kids,can özcanlı,17,0.0,2018
120.0,11/1/2018 0:00,Kanal D,1,Muhteşem İkili,tmc,İbrahim Çelikkol,Kerem Bursin,Özge Gürel,emre özdur,çağatay tosun,murat evgin,Action & Adventure,Drama,erol avcı,20,0.0,2018
120.0,10/27/2018 0:00,Kanal D,1,İkizler Memo - Can,erler film,Nehir Erdoğan,Özgürcan Çevik,Emir Berke Zincidi,ahmet yurdakul,erol özlevi,murat evgin,Family,Kids,türker i̇nanoğlu,20,0.0,2018
40.0,10/19/2018 0:00,BluTV,1,Bartu Ben,blu tv,Bartu Küçükçağlayan,Nazlu Bulum,Müfit Kayacan,bartu küçükçağlayan,tolga karaçelik,ahmet kenan bilgic,Comedy,Drama,bartu küçükçağlayan,online,0.0,2018
120.0,10/7/2018 0:00,atv,1,Ağlama Anne,süreç film,Aslıhan Malbora,Birce Akalay,Özlem Yılmaz,serdar oğuz,feride kaytan,jingleTV,Drama,Family,i̇nci gündoğdu,20,0.0,2018
120.0,10/7/2018 0:00,Kanal D,1,Bir Litre Gözyaşı,med yapım,Miray Daner,Sanem Çelik,Tolga Tekin,gül meriç özen,serhan şahin,jingleTV,Drama,Romantic,fatih aksoy,20,0.0,2018
120.0,11/23/2018 0:00,atv,1,Şahin Tepesi,ay yapım,Zerrin Tekindor,Ebru Özkan,Boran Kuzum,melek gençoğlu,hilal saral,toygar işıklı,Drama,No second genre,kerem çatay,20,0.0,2018
120.0,9/19/2018 0:00,TV8,1,Kızım,med yapım,Buğra Gülsoy,Beren Gökyıldız,Leyla Lydia Tuğutlu,"banu kiremitçi, irmak bahçeci",gökçen usta,eypio,Drama,Family,fatih aksoy,20,1.0,2018
120.0,7/16/2018 0:00,TRT 1,1,Ege'nin Hamsisi,köprü film,İclal Aydın,Uğur Çavuşoğlu,Uraz Kaygılaroğlu,"filiz ekici, yıldırım bayazıt",mustafa şevki doğan,eypio,Family,Comedy,bahar filiz ekinci,22,0.0,2018
120.0,6/14/2018 0:00,Star TV,1,Kalbimin Sultanı,maya film,Ali Ersan Duru,Alexandra Nikiforova,Emel Çölgeçen,"özlem i̇nci hekimoğlu, nil güleç ünsal, atilla ünsal",eda teksöz,eypio,Comedy,No second genre,burhan özkan,20,0.0,2018
120.0,6/20/2018 0:00,Kanal D,1,Hayati ve Diğerleri,1441 productions,Cankat Aydos,Aybike Esin Tumluer,Celil Nalçakan,"onur özcan, murat özsoy",metin balekoğlu,eypio,Family,Comedy,özer kızıltan,20,0.0,2018
120.0,9/16/2018 0:00,FOX,1,Adı Mutluluk,süreç film,Dilara Aksüyek,Serkan Tınmaz,Kaan Yıldırım,aksel bonfin,ersoy özlevi,atakan ilgazdağ,Drama,Romantic Comedy,ali gündoğdu,20,0.0,2018
120.0,7/5/2018 0:00,Show TV,1,Meleklerin Aşkı,süreç film,Didem Balçın,Berkay Hardal,Gülper Özdemir,"gülbike sonay üte ,müge şeviker ,yelda arıtaş ,damla güçer çamtepe ,kağan güler",ersoy güler,emir ersoy,Drama,Comedy,ersoy güler,20,0.0,2018
120.0,7/6/2018 0:00,FOX,3,4N1K,fabrika yapım,Cemrehan Karakaş,Aybanu Aykut,Zeynep Özder,ferhat ergün,murat onbul,emir ersoy,Comedy,Romantic,öner arslanel,20,0.0,2018
120.0,6/26/2018 0:00,Star TV,1,Erkenci Kuş,gold film,Demet Özdemir,Can Yaman,Birand Tunca,"aslı zengin, banu zengin tak, ayşe kutlu",çağrı bayrak,cem öget,Drama,Comedy,faruk turgut,20,0.0,2018
120.0,7/22/2018 0:00,TRT 1,2,Elimi Birakma,üs yapım,Alp Navruz,Alina Boz,Cemre Gümeli,"nilüfer aydın, volkan yazıcı, serap güzel",sadullah celen,"ender gündüzlü, metin arıgül",Drama,Romantic,süreyya yaşar önal,20,1.0,2018
120.0,8/1/2018 0:00,Star TV,1,Nefes Nefese,tmc,Uğur Yücel,Şükrü Özyıldız,Melisa Şenolsun,selin tunç,aydın bulut,jingleTV,Drama,No second genre,erol avcı,20,0.0,2018
120.0,8/13/2018 0:00,Kanal D,1,Koca Koca Yalanlar,limon film,Hakan Yılmaz,Evrim Alasya,Selen Uçer,gülabuş semerci,osman taşçı,jingleTV,Comedy,No second genre,hayri aslan,20,0.0,2018
45.0,9/6/2018 0:00,BluTV,1,Yaşamayanlar,"bubi film, ran film, braveborn, i̇stanbul'74",Elçin Sangu,Kerem Bursin,Selma Ergeç,şamil yılmaz,alphan eşeli,aytekin ataş,Drama,Sci-Fi & Fantasy,alphan eşeli,online,0.0,2018
120.0,9/13/2018 0:00,atv,3,Bir Zamanlar Çukurova,"tims productions,bi yapım",Murat Ünalmış,Selin Genç,Vahide Perçin,"yıldız tunç, su ersöz, derem çıray",faruk teber,aytekin ataş,Drama,Romantic,timur savcı,21,1.0,2018
120.0,3/28/2017 0:00,Kanal D,2,İsimsizler,es film,Uğur Güneş,Atsız Karaduman,Çağkan Çulha,"mustafa burak doğru, serkan birlik, ayça mutlugil, hale çalap",volkan kocatürk,resit gözdamla,War & Politics,No second genre,yusuf esenkal,20,0.0,2017
60.0,2/24/2017 0:00,BluTV,1,Sahipli,d productions,Funda Güray,Baran Akbulut,Sait Genay,"selim erkul ,duygu nişancı",alper mestçi,resit gözdamla,Horror,No second genre,"ayse durmaz,müge durali park,aysil tay",online,0.0,2017
150.0,3/26/2017 0:00,TRT 1,1,Lise Devriyesi,arc films,Ozan Dolunay,Bahar Şahin,İsmail Ege Şaşmaz,"tuna görgün, öktem başol, fatih enes ömeroğlu, samed aslan, zeynep bonçe",yahya samancı,jingleTV,Comedy,Crime,fatih enes ömeroğlu,20,0.0,2017
155.0,3/25/2017 0:00,Star TV,2,Fazilet Hanım ve Kızları,avşar film,Çağlar Ertuğrul,Deniz Baysal,Nazan Kesal,sırma yanık,gökçen usta,jingleTV,Drama,No second genre,şükrü avşar,20,0.0,2017
120.0,3/11/2017 0:00,Show TV,2,Yeni Gelin,process film,Tolga Mendi,Murat Kocacık,Jessica May,ersoy güler,ersoy güler,jingleTV,Comedy,Drama,ersoy güler,20,0.0,2017
150.0,3/7/2017 0:00,Kanal D,1,Evlat Kokusu,endemol shine türkiye,Hande Soral,Barış Kılıç,Murat Han,endemol shine yazı grubu,gökçen usta,yıldıray gürgen,Drama,No second genre,Unknown,20,0.0,2017
120.0,3/6/2017 0:00,FOX,1,Kırlangıç Fırtınası,limon film,Fikret Kuşkan,Gün Akıncı,Ozan Osmanpaşaoğlu,erkan birgören,emine fulya yavuzoğlu,yıldıray gürgen,Drama,No second genre,hayri aslan,20,0.0,2017
120.0,3/3/2017 0:00,Star TV,3,İstanbullu Gelin,o3 medya,Aslı Enver,Özcan Deniz,Salih Bademci,teşrik-i mesai,zeynep günay tan,yıldıray gürgen,Drama,No second genre,onur güvenatam,20,0.0,2017
120.0,2/24/2017 0:00,TRT 1,4,Payitaht Abdülhamid,es yapım,Bulent İnal,Saygın Soysal,Ezgi Eyüboğlu,"osman bodur, uğur uzunok",serdar akar,yıldıray gürgen,Action & Adventure,Drama,yusuf esenkal,20,0.0,2017
45.0,1/12/2017 0:00,atv,1,Bu Şehir Arkandan Gelecek,ay yapım,Kerem Bursin,Leyla Lydia Tuğutlu,Gürkan Uygun,ece yörenç,çağrı vila lostuvalı,toygar işıklı,Drama,Action,kerem çatay,20,0.0,2017
120.0,2/11/2017 0:00,Star TV,1,Icimdeki Firtina,aslan film,Burak Yamantürk,Merve Boluğur,Yusuf Çim,yazı'hane,doğan ümit karaca,"ender akay, sunay özgür",Drama,No second genre,kazım uğur kızılaslan,20,0.0,2017
130.0,1/28/2017 0:00,Kanal D,1,Adı Efsane,d productions,Erdal Beşikçioğlu,Gökçe Bahadır,Rojda Demirer,"nazlı sunlu ,tunus tasci ,hilal yıldız",devrim yalcin,alpay göltekin,Drama,No second genre,müge turalı pak,20,0.0,2017
120.0,1/25/2017 0:00,atv,1,Ölene Kadar,tims productions,Engin Akyürek,Fahriye Evcen,Sarp Levendoğlu,elif usman,umur turagay,"volkan akmehmet, i̇nanç şanver",Drama,No second genre,timur savcı,20,0.0,2017
120.0,1/17/2017 0:00,Star TV,1,Yıldızlar Şahidim,süreç film,Özge Gürel,Berk Cankat,Mesut Akusta,yazı odası,serhat çakıroğlu,"volkan akmehmet, i̇nanç şanver",Comedy,Drama,ali gündoğdu,20,0.0,2017
95.0,1/3/2017 0:00,TRT 1,1,Son Destan,bkm,Bülent İnal,Ecem Çalık,Sedef Avcı,ali ulvi hünkar,yağız alp akaydın,"onur tarçın,cem yildiz",Drama,No second genre,necati akpınar,20,0.0,2017
120.0,3/28/2017,Kanal D,1,Kara Yazı,dark story,Haluk Bilginer,Emre Kınay,Ushan Çakır,"sema ergenekon ,eylem canpolat",neslihan yeşilyurt,"onur tarçın,cem yildiz",Drama,Family,"sema ergenekon,eylem canpolat",20,0.0,2017
140.0,8/18/2017,Kanal D,1,Bodrum Masalı,tmc,Timuçin Esen,Şevval Sam,Murat Aygen,"başar başaran,emre özdür",mehmet ada öztekin,cem özkan,Romantic,Drama,erol avcı,20,0.0,2017
120.0,6/30/2017,Show TV,1,Kalp Atışı,mf yapım,Gökhan Alkan,Öykü Karayel,Ege Kökenli,"makbule kosif,eda tezcan,gülsev karagöz,zafer özer çetinel,melis veziroğlu yılmaz,merve cagiran",yusuf pirhasan,"jingletv,batuhan firat",Drama,Comedy,faruk bayhan,20,1.0,2017
130.0,4/3/2017 0:00,Star TV,3,Söz,tims productions,Tolga Sarıtaş,Deniz Baysal,Nihat Alptuğ Altınkaya,ethem özışık,yağız alp akaydın,atakan ilgazdağ,War & Politics,Drama,timur savcı,20,0.0,2017
60.0,3/31/2017 0:00,puhutv,2,Fi,ay yapım,Ozan Güven,Serenay Sarıkaya,Mehmet Günsür,"nükhet bıçakçı ,özlem yücel",mert baykal,cem öget,Drama,No second genre,akilah azra kohen,online,1.0,2017
140.0,7/10/2017 0:00,Kanal D,1,İki Yalancı,tükenmezkalem film,Yağmur Tanrısevsin,Koray Erkök,Keremcem,gani müjde,eda teksöz,"alpay göltekin, zeynep alasya, caner özkan",Comedy,No second genre,gani müjde,20,0.0,2017
120.0,4/24/2017 0:00,FOX,2,Savaşçı,limon film,Berk Oktay,Gaye Turgut Evin,Alican Albayrak,süleyman çobanoğlu,osman taşçı,"alpay göltekin, zeynep alasya, caner özkan",War & Politics,No second genre,volkan kocatürk,20,0.0,2017
120.0,10/16/2017 0:00,Kanal D,1,Siyah Beyaz Aşk,productions,İbrahim Çelikkol,Birce Akalay,Muhammet Uzuner,"erkan birgören ,banu tekcan",emir khalilzadeh,yıldıray gürgen,Drama,Action & Adventure,eylem canpolat,20,0.0,2017
150.0,12/16/2017 0:00,Kanal D,1,Dostlar Mahallesi,erler film,Alişan,Çağla Şıkel,Hande Katipoğlu,resul ertaş,ayhan özen,aria,Family,Comedy,türker i̇nanoğlu,20,0.0,2017
22.0,12/8/2017 0:00,BluTV,3,Hile,filmler ve filimler,Cem Asan,Taner Şahin,Andaç Ulukaya,taha ulukaya,taha ulukaya,aria,Sci-Fi & Fantasy,Mystery,Unknown,online,0.0,2017
120.0,11/29/2017 0:00,Kanal D,1,Kızlarım İçin,süreç film,Numan Çakır,Hakan Yufkacıgil,Meltem Gülenç,"zehra yücel, zülküf yücel",mesude erarslan,aria,Drama,No second genre,mesude erarslan,20,0.0,2017
150.0,11/18/2017 0:00,TRT 1,3,Kalk Gidelim,staff film,Ufuk Özkan,Erkan Sever,Ayça Varlıer,"cüneyt i̇nay, oktay berber",mustafa şevki doğan,aria,Family,Comedy,eyüp üstün,20,0.0,2017
120.0,11/11/2017 0:00,atv,1,Bahtiyar Ölmez,nehir yapım,Yetkin Dikinciler,Hande Subaşı,Umut Oğuz,"hasan burak kayacı, feraye şahin",cem tabak,"uğur ateş ,cem öget",Comedy,Action & Adventure,muharrem gürer,20,0.0,2017
120.0,11/1/2017 0:00,FOX,1,Nerdesin Birader,filmevi yapım,Timur Acar,Gonca Sarıyıldız,Hakan Bilgin,sahne 77,ulaş cihan şimşek,"uğur ateş ,cem öget",Comedy,No second genre,erol demir,20,0.0,2017
120.0,11/1/2017 0:00,Star TV,1,Hayat Sırları,most production,Ahmet Mümtaz Taylan,Ekin Koç,Hazar Ergüçlü,mahinur ergun,murat can oğuz,"uğur ateş ,cem öget",Drama,No second genre,gül oğuz,20,0.0,2017
120.0,10/24/2017 0:00,FOX,3,Kadın,"med yapım,mf yapım",Özge Özpirinçci,Caner Cindoruk,Bennu Yıldırımlar,hande altaylı,nadim güç,"uğur ateş ,cem öget",Drama,Family,fatih aksoy,20,1.0,2017
120.0,10/24/2017 0:00,Star TV,2,Ufak Tefek Cinayetler,ay yapım,Gökçe Bahadır,Aslıhan Gürbüz,Bade İşçil,meriç acemi,ali bilgin,"uğur ateş ,cem öget",Drama,Mystery,kerem çatay,20,0.0,2017
120.0,10/22/2017 0:00,TRT 1,1,Aslan Ailem,es film,Akın Akınözü,Burcu Özberk,Fırat Altunmeşe,"ayça mutlugil, hale çalap, yaşar arak, gülşen okumuş",başak soysal,serkan çağrı,Comedy,Drama,yusuf esenkal,20,1.0,2017
120.0,10/22/2017 0:00,Show TV,3,Çukur,ay yapım,Aras Bulut İynemli,Öner Erkan,Rıza Kocaoğlu,"gökhan horzum, damla serim",sinan öztürk,barış aryay,Crime,Action & Adventure,gökhan horzum,20,0.0,2017
170.0,4/30/2017 0:00,atv,1,Seni Kimler Aldı,pastel film,Serhan Yavaş,Fulya Zenginer,Duygu Yetiş,pınar uysal,sadullah şentürk,barış aryay,Drama,No second genre,efe i̇rvül,20,0.0,2017
120.0,9/23/2017 0:00,Kanal D,1,Sevda'nın Bahçesi,gold film,Sibel Can,Emre Kınay,Begüm Kütük,emir khalilzadeh,birol güven,barış aryay,Family,Drama,"şenay abacı turgut, faruk turgut",20,0.0,2017
120.0,9/28/2017 0:00,Star TV,1,Siyah İnci,gold film,Mehmet Mehmedof,İpek Bağrıaçık,Neriman Uğur,"alphan dikmen ,başak angigün",benal tairi,barış aryay,Drama,Romantic,erol özlevi,20,0.0,2017
130.0,7/4/2017 0:00,FOX,1,Deli Gönül,25 film,Murat Ünalmış,Tuvana Türkay,Ayşe Çiğdem Batur,"rahşan çiğdem i̇nan, barış pirhasan, selim demirdelen",selim demirdelen,çağatay akman,Drama,No second genre,"fırat parlak, koray şahin",20,0.0,2017
120.0,9/20/2017 0:00,Kanal D,1,Tutsak,1441 productions,Pamir Pekin,Caner Şahin,Gülper Özdemir,"gamze arslan ,volkan yazıcı ,hasan cömert",serhan şahin,çağatay akman,Drama,No second genre,i̇rfan şahin,20,0.0,2017
120.0,9/18/2017 0:00,FOX,1,Kayıtdışı,"red arrow entertainment,karga seven pictures",Burak Yamantürk,Erkan Petekkaya,Songül Öden,"şahin altuğ ,caner güler",cevdet mercan,çağatay akman,Action & Adventure,Crime,"özer sata, tamer üner, kelly mcphersen, tracy bacal, emre şahin, sarah wetherbee",20,0.0,2017
120.0,9/14/2017 0:00,FOX,2,Bizim Hikaye,med yapım,Hazal Kaya,Burak Deniz,Reha Özcan,"hatice meryem, banu kiremitçi bozkurt ebru hacıoğlu, verda pars",serdar gözelekli,çağatay akman,Comedy,Drama,serdar gözelekli,20,0.0,2017
120.0,9/8/2017 0:00,Kanal D,1,Ver Elini Aşk,salacak yapım,Gamze Demirbilek,Nihal Menzil,Nazan Ayas,"ayşe ferda eryılmaz, nehir erdem",bora onur,"aydın sarman ,burcu güven",Comedy,Drama,ufuk hakan eren,20,0.0,2017
120.0,7/31/2017 0:00,Kanal D,3,Çocuklar Duymasın,mint production,Pınar Altuğ,Zeyno Günenç Kanert,Mehmet Baran Erdoğan,birol güven,bora tekay,"aydın sarman ,burcu güven",Comedy,Family,birol güven,20,0.0,2017
120.0,9/16/2017 0:00,TRT 1,1,Yalaza,sinegraf,Sinan Albayrak,Didem Balçın,İpek Tuzcuoğlu,hasan kaçan,osman sınav,"barış aryay, mehmet andiçen",Family,Comedy,osman sınav,20,0.0,2017
120.0,7/4/2017 0:00,Star TV,1,Dolunay,no dokuz productions,Özge Gürel,Can Yaman,Hakan Kurtaş,"aysen günsu teker ,fikret bekler",çağrı bayraklı,"barış aryay, mehmet andiçen",Comedy,Drama,yağmur ünal,20,0.0,2017
90.0,7/3/2017 0:00,Star TV,2,Çember,ans production,Barış Bağcı,Pelin Akil,Anıl Altan,başak yazı odası,fulya yavuzoğlu,"barış aryay, mehmet andiçen",Action & Adventure,Crime,abdullah oğuz,20,0.0,2017
120.0,6/29/2017 0:00,Star TV,1,Ateşböceği,mia yapım,Seçkin Özdemir,Nilay Deniz,Çağrı Çıtanak,ebru hacıoğlu,barış yöş,"barış aryay, mehmet andiçen",Comedy,Drama,banu akdeniz,20,0.0,2017
140.0,6/15/2017 0:00,atv,1,Kanatsız Kuşlar,koliba film,Melis Tüzüngüç,Ümit İbrahim Kantarcılar,Fatih Al,"hakan haksun, eda karakoç, pervin bozan, elif başaran, burak kumdakçı",adnan güler,"barış aryay, mehmet andiçen",Drama,No second genre,ata türkoğlu,20,0.0,2017
120.0,5/26/2017 0:00,FOX,1,Şevkat Yerimdar,limon film,Özgürcan Çevik,Başak Parlak,Salih Kalyon,"erol hızarcı, meryem çitçi",bülent i̇şbilen,"barış aryay, mehmet andiçen",Comedy,Family,bülent i̇şbilen,20,0.0,2017
120.0,3/26/2016 0:00,Kanal D,1,Tatlı İntikam,d yapım,Leyla Lydia Tuğutlu,Furkan Andıç,Can Nergis,"pinar ordu ,ilker aslan",barış erçetin,"atakan ilgazdağ,özlem tekin",Comedy,Drama,ebru sakal,20,0.0,2016
