episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation,year
75.0,9/18/2003 0:00,atv,2,Bir İstanbul Masalı,tmc,Ahu Türkpençe,Mehmet Aslantuğ,Çetin Tekindor,"gaye boralioglu ,sertaç ergin ,gökhan horzum ,nese sen",ömür atay,kıraç,Drama,Romantic,erol avcı,20,0.0,2003
70.0,12/12/2003,Kanal D,1,Sultan Makamı,avşar film,Başak Köklükaya,Uğur Polat,Şevket Çoruh,ali ulvi hünkar,aydın bulut,"kemal sahir gürel	,kazim koyuncu",Drama,No second genre,bahadır atay,20,0.0,2003
90.0,1/15/2003 0:00,Kanal D,4,Kurtlar Vadisi,pana film,Muhammed Necati Şaşmaz,Özgü Namal,Kenan Çoban,"ahmet yurdakul, raci şaşmaz, bahadır özdener",osman sınav,gökhan kırdar,Action & Adventure,Drama,osman sınav,20,0.0,2003
90.0,9/14/2003,atv,2,Kurşun Yarası,avşar film,Berdan Martini,Bülent İnal,Nejat İşler,"cem görgeç,ilker arslan,cüneyt bolak,baris erdogan	,aycan giritlioglu,deniz kamaci,ayhan sonyürek",özer kiziltan,"kemal sahir güre,hakan yesilyurt",Drama,Action & Adventure,"şükrü avşar,bahadır atay",20,0.0,2003
45.0,3/7/2002 0:00,TRT 1,3,Koçum benim,replik film,Tarık Akan,Ebru Cündübeyoğlu,Engin Altan Düzyatan,yonca akasya,vecihi ener,ali otyam,Comedy,Family,hüseyin apaydın,20,0.0,2002
60.0,9/12/2002,Kanal D,3,Kınalı Kar,yağmur ajans,Emrah,Özlem Conker,Engin Şenkan,"gamze özer, özgür evren heptürk",taner akvardar,ali otyam,Drama,No second genre,osman yağmurdereli,21,0.0,2002
65.0,10/16/2002,Show TV,3,Ekmek Teknesi,sinegraf,Peker Açıkalın,Sermin Hürmeriç,Kadir Çöpdemir,"raci şaşmaz, mehmet turgut, hasan kaçan, elif aktuğ, bahadır özdener, ömer lütfi mete",osman sınav,i̇ncesaz,Drama,Comedy,osman sınav raci şaşmaz,20,0.0,2002
75.0,1/1/2002 0:00,Star TV,5,En Son Babalar Duyar,mint production,Levent Ülgen,Hatice Aslan,Selahattin Taşdöğen,"necmi yapıcı, murat aras, metin açıkgöz",sibel kocataş,fikret alper,Family,Comedy,birol güven,20,0.0,2002
60.0,9/25/2002 0:00,TRT 1,1,Şeytan Ayrıntıda Gizlidir,renkli türkçe film yapım,Çetin Tekindor,Nejat İşler,Mete Horozoğlu,turgut yasalar,cevdet mercan,fikret alper,Crime,Mystery,Unknown,20,1.0,2002
60.0,3/28/2002,Kanal D,1,Bayanlar Baylar,ans production,Oktay Kaynarca,Hande Ataizi,Yavuz Bingöl,gani müjde,erdoğan engin,fikret alper,Comedy,No second genre,abdullah oğuz,20,0.0,2002
60.0,3/11/2002,atv,2,Asmalı Konak,ans production,Özcan Deniz,Nurgül Yeşilçay,Selda Alkor,"mahinur ergun,meral okay",çağan irmak,kazım koyuncu,Drama,Romantic,abdullah oğuz,20,0.0,2002
60.0,12/12/2002,TRT 1,1,Mihriban,trt,Hülya Koçyiğit,Sevinç Gürşen Akyıldız,Lemi Filozof,"i̇lker arslan,berrin tekdemir",yalçın yelence,kazım koyuncu,Drama,No second genre,faruk turgut,20,0.0,2002
