episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation
120,6/24/2014 0:00,Star TV,2,Güzel Köylü,Gold Film,Gizem Karaca,Berk Cankat,Mehmet Ali Nuroğlu,"Baykut Badem, Filiz Ekinci, Berk Can Doğan,","Mustafa Şevki Doğan,","Mehmet Andiçen, Baris Aryay",Family,Romantic Comedy,Faruk Turgut,20,0
90,4/4/2014 0:00,Star TV,2,Kurt Seyit ve Şura,Ay Yapım,Kıvanç Tatlıtuğ,Farah Zeynep Abdullah,Fahriye Evcen,"Ece Yörenç,","Hilal Saral,","Toygar Işıklı,",Drama,History,Kerem Çatay,20,0
120,3/12/2014 0:00,atv,2,Kara Para Aşk,Ay Yapım,Ali Yörenc,Engin Akyürek,Tuba Büyüküstün,"Sema Ergenekon, Eylem Canpolat,","Ahmet Katıksız,","Toygar Işıklı,",Action & Adventure,Drama,Kerem Çatay,20,0
120,2/16/2014 0:00,FOX,2,O Hayat Benim,Pastel Film,Ezgi Asaroğlu,Ezgi Asaroğlu,Ceren Moray Brun,"Gül Abus Semerci, Yelda Eroğlu, Can Sinan, Ali Ercivan, Serdar Soydan, Yekta Torun,","Merve Girgin, ","ENC,",Drama,,"Yaşar İrvül, Efe İrvül,",20,0
60,2/13/2014 0:00,Star TV,2,Kardeş Payı,NTC Medya,Ahmet Kural,Murat Cemcir,Seda Bakan,"Selçuk Aydemir, Çağlar Yurt, Onay Durgun, Murat Kaman, Emrah Kaman, Ali İhsan Varol","Selçuk Aydemir,","Ahmet Kural, Murat Cemcir, Aytekin Ataş,",Family,Drama,"Mehmet Yiğit Alp,",23,0
120,1/7/2014 0:00,Kanal D,1,Cinayet,Adam Film,Nurgül Yeşilçay,Engin Altan Düzyatan,Uğur Polat,"Ercan Mehmet Erdem,","Serdar Akar, ","Frans Bac,",Crime,Mystery,"Tarkan Karlıdağ, Cansu Akbel,",20,1
90,1/1/2014 0:00,TRT 1,1,Hayat Ağacı,Focus Film,Fikret Kuskan,Fırat Temir,Onur Saylak,"Volkan Yazıcı ,","Barış Yöş ,",Fahir Atakoglu,Drama,Family,"Nilgün Sağyaşar,",23,1
45,12/8/2013 0:00,FOX,1,1 Erkek 1 Kadın 2 Çocuk,Bando Yapım,Demet Evgar,Emre Karayel,,"Ali Alper Erze ,Meriç Acemi ,Utku Gürtunca ,Sadık Bigat ,Zeki Enes Akkan ,","Leyla Yaman ,","Gaetan Essiambre,",Family,Comedy,"Mehmet Karaca, Müge Turalı, ",22,1
70,10/25/2013 0:00,Star TV,1,Ben de Özledim,EFLATUN FILM,Gülce Oral,Sarp Aydınoğlu,Ezgi Çelik,"Burak Aksak,","Onur Ünlü,","
Ahmet Kenan Bilgic,Okan Kaya,Taner Yücel,Burak Akay",Comedy,Family,Onur Ünlü,23.3,0
100,10/25/2013 0:00,Kanal D,1,A.S.K.,Gold Film,Nebahat Çehre,Hazal Kaya,Aslı Tandoğan,"Evren Şit, Serdar Soydan,","Ömür Atay ,",Aytekin Ataş,Drama,Romantic,Faruk Turgut,20,0
100,9/24/2013 0:00,Kanal D,1,Çalıkuşu,Tims Productions,Fahriye Evcen,Burak Özçivit,Elif İskender,"Sevgi Yılmaz ,","Çağan Irmak ,","Esin Engin ,",Family,Drama,Timur Savcı,20,1
90,9/24/2013 0:00,atv,2,Kaçak,Süreç Film,Gurkan Uygun,Berk Hakman,Mustafa Avkıran,"Zülküf Yücel,","Ahmet Volkan Kocatürk, ",Kıraç,Action & Adventure,Comedy,Ali Gündoğdu,20,0
120,9/13/2013 0:00,Star TV,2,Medcezir,Ay Yapım,Çağatay Ulusoy,Serenay Sarıkaya,Metin Akdülger,"Ece Yörenç, Melek Gençoğlu ","Ali Bilgin,","Toygar Işıklı,",Comedy,Drama,Kerem Çatay,20,1
90,7/5/2013 0:00,FOX,1,Sana Bir Sır Vereceğim,SCORFILMS,Demet Özdemir,Murat Han,Esra Ronabar,"Ethem Özışık,","Cevriye Demir ,",,Drama,Mystery,Fikret Soğancı,20,1
120,7/2/2013 0:00,Kanal D,1,Günesi Beklerken,D Productions,Kerem Bursin,Hande Doğandemir,Yağmur Tanrısevsin,"Deniz Dargı, Rüya İşçileri, ","Altan Dönmez ,",,Comedy,Drama,Ayşe E. Durmaz,20,0
100,3/29/2013 0:00,FOX,4,Karagül,Avşar Film,Ayça Ayşin Turan,Hilal Altınbilek,Mesut Akusta,"Sema Ergenekon, Eylem Canpolat, Pınar Uysal, Funda Çetin, Erkan Birgören, Betül Yağsağan, Beril Köse, Özlem Yücel, Mert Meriçli, Hale Çalap, Özlem Taşağal Yakıcı","Murat Saraçoğlu ,","Fırat Yükselir,",Drama,Action & Adventure,Şükrü Avşar,20,0
